Code,Neighborhood,Municipality,Population,Area,Population Density,18-29,30-44,45-64,65+,Unemployment Rate,Not In Good Health,Health Index
51,Van Volxem - Van Haelen,Vorst,13122,0.84175,15588.9,16.15,25.81,23.13,12.48,19.96,27.23,1.14
52,Veeweide - Aurore,Anderlecht,16006,0.91524,17488.1,16.53,23.44,22.74,12.83,21.73,34.57,1.28
53,Bizet - Rad - Coovi,Anderlecht,15147,1.78711,8475.68,16.61,21.28,23.75,12.45,16.69,31.85,1.25
54,Vogelenzang - Erasmus,Anderlecht,1875,2.44893,765.63,20.21,13.12,21.28,29.01,36,32.36,1.15
55,Neerpede,Anderlecht,1324,3.95218,335,18.13,17.07,26.06,17.52,12.38,22.68,0.84
56,Goede Lucht,Anderlecht,1722,0.30071,5726.41,14.92,16.55,28.75,12.66,23.45,35.23,1.38
57,Scherdemaal,Anderlecht,10714,1.06361,10073.21,13.49,17.93,24.69,24.28,15.5,34.03,1.04
58,Anderlecht - Centrum - Wayez,Anderlecht,14487,0.73027,19837.72,17.89,23.72,21.98,9.21,25.81,28.85,1.3
59,Scheut,Anderlecht,13514,0.94315,14328.5,16.24,23.4,21.73,11.75,21.48,30.34,1.27
60,Buffon,Anderlecht,5815,0.45648,12738.62,15.39,21.79,23.34,12.85,15.63,28,1.02
61,Moortebeek - Peterbos,Anderlecht - Sint-Jans-Molenbeek,9530,1.09459,8706.42,13.2,17.67,24.34,18.56,25.36,38.44,1.32
62,Machtens,Anderlecht - Sint-Jans-Molenbeek,23645,1.40404,16840.55,13.23,21.53,22.19,17.29,18.59,30.62,1.05
63,Karreveld,Sint-Jans-Molenbeek,14571,0.78823,18485.78,14.57,21.37,22.44,11.39,26.14,35.94,1.31
64,Frans Hospitaal,Koekelberg - Sint-Agatha-Berchem - Sint-Jans-Molenbeek,13498,0.80196,16830.53,14.45,22.15,22.7,18.24,15.92,29.59,0.99
65,Korenbeek,Sint-Jans-Molenbeek - Sint-Agatha-Berchem,8983,0.75678,11869.49,14.09,20.37,24.08,16.29,17.55,27.22,1.08
66,Potaarde,Sint-Agatha-Berchem,3502,0.65295,5364.87,13.91,19.53,26.36,15.88,12.05,21.82,0.86
67,Sint-Agatha Berchem Centrum,Sint-Agatha-Berchem,15513,1.78677,8682.3,14.79,21.19,23.21,14.11,18.89,28.08,1.08
68,Villa's van Ganshoren,Ganshoren,7262,0.77569,9361.99,12.86,16.32,25.45,24.54,20.92,38.65,1.12
69,Ganshoren Centrum,Ganshoren,11957,0.85275,14021.71,13.46,23.16,23.57,14.28,17.89,28.02,1.04
70,Basiliek,Ganshoren - Jette - Koekelberg,13405,0.80278,16696.83,17.17,24.77,22.89,10.98,19.77,26.06,1.12
71,Woeste,Jette,19688,1.06102,18555.7,14.58,23.71,22.57,12.59,20.2,29.84,1.18
72,Jette Centrum,Jette - Ganshoren,12976,0.96613,13431.78,15.38,22.25,24.42,14.52,17.63,27.49,1.08
73,Heymbosch - AZ-Jette,Jette,9541,1.37384,6945.37,14.69,21.97,24.2,17.65,11.74,26.96,0.96
74,Heizel,Brussel - Jette,15327,2.79391,5485.65,13.35,19.18,23.44,18.93,20.98,33.03,1.11
75,Houba,Brussel - Jette,18135,1.20449,15055.23,16.08,22.52,23.05,11.56,23.36,31.13,1.22
76,Mutsaard,Brussel,13930,1.38761,10038.88,13.95,21.27,23.93,17.64,15.23,27.46,0.96
77,Heembeek,Brussel,15019,1.93555,7759.59,14.52,19.7,23.65,16.04,18.06,28.3,1.16
78,Haren,Brussel,6019,1.93756,3106.52,16.86,20.32,24.12,8.04,15.65,24.63,1.11
79,Vrede,Evere,12567,1.20376,10439.91,15.39,22.15,23.04,14.31,21.17,29.38,1.18
80,Helmet,Schaarbeek,12800,0.71105,18001.57,17.23,24.52,21.07,8.97,24.71,30.92,1.38
81,Schaarbeek Station,Schaarbeek,7969,0.37422,21294.9,17.78,25.61,20.88,7.99,24.51,26.68,1.32
82,Terdelt,Schaarbeek,9689,0.6709,14441.73,15.38,20.55,23.29,16.34,18.36,29.14,1.1
83,Conscience,Evere,8491,0.49182,17264.75,16.12,22.88,21.62,15,20.97,28.66,1.09
84,Leopold III Laan,Evere,8968,1.23338,7271.16,13.57,22.93,23.96,17.15,18.55,30.34,1.05
85,Josaphat Station,Schaarbeek,4804,0.60545,7934.63,14.63,25.46,22.06,14.95,16.63,28.84,0.98
86,Paduwa,Evere,11461,1.15564,9917.51,15.28,22.48,22.02,17.76,17.32,29.48,1.16
87,Reyers,Schaarbeek,3711,0.59753,6210.57,17.52,25.98,22.5,12.23,17.33,29.27,1.04
88,Georges Henri,Sint-Lambrechts-Woluwe - Schaarbeek,15614,1.15548,13513.04,16.91,23.9,23.69,15.66,11.29,20.95,0.79
89,Gribaumont,Sint-Pieters-Woluwe - Sint-Lambrechts-Woluwe,11449,1.02398,11180.91,15.8,23.71,24.59,17.09,10.48,20.2,0.72
90,Roodebeek - Sterrebeelden,Sint-Lambrechts-Woluwe,14231,1.54936,9185.15,15.14,21.38,23.81,20.15,15.02,27.01,0.91
91,Gulledelle,Sint-Lambrechts-Woluwe,11032,1.6451,6711.27,14.89,24.66,23.69,17.3,10.51,22.31,0.86
92,Kapelleveld,Sint-Pieters-Woluwe - Sint-Lambrechts-Woluwe,5706,1.90487,2999.78,20.8,18.61,23.57,16.65,19.14,23.51,0.92
93,Woluwelaan,Sint-Pieters-Woluwe - Sint-Lambrechts-Woluwe,6369,1.06177,5998.47,14.66,21.93,26.38,14.24,13.3,23.78,0.95
94,Stokkel,Sint-Pieters-Woluwe - Sint-Lambrechts-Woluwe,9021,1.51447,5956.25,12.66,19.21,26.47,20.91,8.04,19.94,0.74
95,Sinte-Aleidis - Mooibos,Sint-Pieters-Woluwe,4459,0.99,4504.68,13.16,18.52,26.71,18.1,8.54,21.21,0.77
96,Sint-Paulus,Sint-Pieters-Woluwe,7866,1.785,4406.75,14.54,16.37,25.87,22.53,9.77,18.02,0.67
97,Putdaal,Sint-Pieters-Woluwe - Oudergem,1407,0.77961,1804.87,16.63,13.15,29.35,22.96,7.47,17.1,0.62
98,Oudergem Centrum,Oudergem,5194,0.80398,6460.4,13.73,24.09,23.55,17.02,9.43,23.66,0.92
99,Vogelzang,Sint-Pieters-Woluwe - Oudergem,10647,1.56929,6784.48,14.16,19.13,24.81,19.25,9.39,19.09,0.66
100,Waversteenweg - Sint-Juliaan,Oudergem - Etterbeek,17268,1.38221,12492.98,18.09,24.7,23.18,14.03,13.15,23.29,0.89
101,Drie Linden,Watermaal-Bosvoorde - Oudergem,6845,1.01018,6776.01,14.58,15.76,27.48,18.19,18.21,25.1,0.93
102,Transvaal,Oudergem,6966,1.22867,5669.56,13.47,17.54,26.72,19.44,14,24.62,0.87
